period,date,red1,red2,red3,red4,red5,red6,blue
2022089,2022-08-04,2,7,15,29,31,33,15
2022088,2022-08-02,3,9,15,17,20,22,6
2022087,2022-07-31,5,6,9,13,23,25,8
2022086,2022-07-28,1,4,8,21,23,24,11
2022085,2022-07-26,7,9,14,31,32,33,13
2022084,2022-07-24,3,18,23,24,25,32,9
2022083,2022-07-21,8,12,13,14,19,20,5
2022082,2022-07-19,4,10,11,23,30,32,14
2022081,2022-07-17,4,8,11,21,27,30,1
2022080,2022-07-14,5,12,15,17,18,27,4
2022079,2022-07-12,1,9,15,17,22,23,16
2022078,2022-07-10,1,4,5,15,17,31,9
2022077,2022-07-07,3,17,18,19,20,27,16
2022076,2022-07-05,8,9,10,13,24,29,2
2022075,2022-07-03,1,2,4,25,26,30,10
2022074,2022-06-30,5,7,15,19,29,33,15
2022073,2022-06-28,6,10,14,15,26,29,12
2022072,2022-06-26,5,14,15,16,18,32,12
2022071,2022-06-23,4,7,15,18,29,33,1
2022070,2022-06-21,4,6,9,27,28,33,2
2022069,2022-06-19,6,7,13,19,26,29,8
2022068,2022-06-16,7,12,15,24,26,29,6
2022067,2022-06-14,1,5,13,21,26,29,15
2022066,2022-06-12,6,11,14,20,27,30,9
2022065,2022-06-09,9,14,18,23,28,31,2
2022064,2022-06-07,4,6,12,13,17,31,16
2022063,2022-06-05,6,8,9,17,22,31,11
2022062,2022-06-02,16,18,20,21,23,33,5
2022061,2022-05-31,1,3,16,18,29,33,6
2022060,2022-05-29,16,18,19,24,28,32,1
2022059,2022-05-26,6,9,18,19,29,33,6
2022058,2022-05-24,6,13,14,23,31,33,1
2022057,2022-05-22,12,15,20,26,30,33,16
2022056,2022-05-19,1,6,11,14,17,26,15
2022055,2022-05-17,2,4,9,26,28,33,3
2022054,2022-05-15,8,12,21,27,28,33,11
2022053,2022-05-12,10,14,18,23,27,33,15
2022052,2022-05-10,7,24,27,29,31,32,15
2022051,2022-05-08,2,5,11,17,21,33,1
2022050,2022-05-05,3,5,8,14,27,33,8
2022049,2022-05-03,2,4,7,18,25,26,10
2022048,2022-05-01,5,7,17,20,26,31,14
2022047,2022-04-28,3,7,8,14,27,30,9
2022046,2022-04-26,2,11,24,25,27,30,14
2022045,2022-04-24,3,12,17,18,19,28,4
2022044,2022-04-21,1,7,8,21,23,29,6
2022043,2022-04-19,2,17,20,23,25,27,8
2022042,2022-04-17,5,10,11,21,22,30,13
2022041,2022-04-14,5,7,21,22,24,29,14
2022040,2022-04-12,3,12,14,16,31,33,12
2022039,2022-04-10,2,6,7,10,15,20,5
2022038,2022-04-07,9,12,13,16,24,32,4
2022037,2022-04-05,1,10,13,20,22,32,14
2022036,2022-04-03,2,3,14,16,26,31,2
2022035,2022-03-31,8,12,13,19,23,25,15
2022034,2022-03-29,14,17,26,31,32,33,10
2022033,2022-03-27,5,12,19,22,25,26,5
2022032,2022-03-24,4,10,11,14,23,32,7
2022031,2022-03-22,1,10,11,22,26,32,7
2022030,2022-03-20,12,23,24,26,27,30,5
2022029,2022-03-17,3,8,10,13,26,32,8
2022028,2022-03-15,5,11,20,22,23,29,9
2022027,2022-03-13,14,15,18,19,26,32,9
2022026,2022-03-10,3,4,10,15,22,24,2
2022025,2022-03-08,6,19,24,25,28,32,4
2022024,2022-03-06,7,9,10,14,19,24,15
2022023,2022-03-03,7,12,17,19,24,25,2
2022022,2022-03-01,1,7,11,15,17,19,6
2022021,2022-02-27,3,7,22,24,26,31,14
2022020,2022-02-24,9,11,14,22,30,32,1
2022019,2022-02-22,5,6,14,20,21,25,8
2022018,2022-02-20,7,11,16,17,30,32,16
2022017,2022-02-17,6,9,24,29,30,32,7
2022016,2022-02-15,5,10,19,20,29,31,14
2022015,2022-02-13,6,14,16,27,28,31,7
2022014,2022-02-10,6,7,13,14,15,27,4
2022013,2022-02-08,2,3,4,7,10,18,15
2022012,2022-01-27,4,7,8,29,30,31,1
2022011,2022-01-25,6,15,23,24,25,33,15
2022010,2022-01-23,12,18,19,20,21,32,15
2022009,2022-01-20,4,15,17,19,25,28,16
2022008,2022-01-18,2,3,7,9,20,21,13
2022007,2022-01-16,1,20,22,23,25,28,16
2022006,2022-01-13,3,6,9,15,22,31,2
2022005,2022-01-11,7,10,12,16,19,31,16
2022004,2022-01-09,5,19,24,28,30,32,14
2022003,2022-01-06,2,5,16,17,18,30,6
2022002,2022-01-04,2,12,21,23,25,31,8
2022001,2022-01-02,6,13,15,17,20,21,3
2021150,2021-12-30,9,14,20,21,24,26,4
2021149,2021-12-28,5,10,15,18,19,32,5
2021148,2021-12-26,10,12,15,17,19,20,8
2021147,2021-12-23,5,10,11,13,27,28,9
2021146,2021-12-21,7,9,21,22,26,32,3
2021145,2021-12-19,4,7,10,14,16,26,9
2021144,2021-12-16,2,5,13,15,23,26,7
2021143,2021-12-14,1,9,11,13,20,29,9
2021142,2021-12-12,4,7,17,19,20,24,16
2021141,2021-12-09,1,14,19,23,26,30,10
2021140,2021-12-07,5,10,16,26,27,33,1
2021139,2021-12-05,12,14,19,23,24,27,1
2021138,2021-12-02,11,14,15,16,27,32,9
2021137,2021-11-30,3,7,10,14,21,24,1
2021136,2021-11-28,2,6,9,15,19,28,16
2021135,2021-11-25,3,10,17,19,21,31,4
2021134,2021-11-23,1,2,16,19,25,31,8
2021133,2021-11-21,1,3,12,19,27,31,10
2021132,2021-11-18,1,4,6,14,20,28,8
2021131,2021-11-16,8,11,18,19,20,24,1
2021130,2021-11-14,8,9,15,24,26,30,6
2021129,2021-11-11,4,15,21,27,28,29,10
2021128,2021-11-09,5,17,20,21,23,33,4
2021127,2021-11-07,7,15,16,20,27,29,7
2021126,2021-11-04,19,20,23,27,28,31,1
2021125,2021-11-02,14,19,20,23,24,31,9
2021124,2021-10-31,1,3,18,22,29,32,2
2021123,2021-10-28,6,14,15,19,29,31,5
2021122,2021-10-26,4,5,12,15,18,28,7
2021121,2021-10-24,4,5,12,16,22,30,15
2021120,2021-10-21,1,7,8,12,13,18,5
2021119,2021-10-19,3,9,10,11,28,29,13
2021118,2021-10-17,2,6,14,18,20,31,13
2021117,2021-10-14,3,5,17,21,27,33,4
2021116,2021-10-12,6,14,17,18,31,33,6
2021115,2021-10-10,2,10,12,15,24,27,8
2021114,2021-10-07,4,6,8,14,24,27,2
2021113,2021-10-05,4,7,10,22,27,30,2
2021112,2021-09-30,5,6,21,25,28,33,7
2021111,2021-09-28,17,20,22,23,26,28,6
2021110,2021-09-26,10,13,15,24,31,32,2
2021109,2021-09-23,2,3,10,17,20,26,16
2021108,2021-09-21,11,15,18,24,26,32,9
2021107,2021-09-19,2,3,17,19,25,30,1
2021106,2021-09-16,1,4,7,14,30,31,3
2021105,2021-09-14,10,14,15,22,27,32,9
2021104,2021-09-12,1,7,17,20,22,28,15
2021103,2021-09-09,10,13,15,25,29,30,15
2021102,2021-09-07,5,9,15,24,27,30,9
2021101,2021-09-05,2,4,12,22,29,31,1
2021100,2021-09-02,7,9,12,13,14,29,16
2021099,2021-08-31,9,11,17,18,20,27,15
2021098,2021-08-29,1,10,13,18,26,32,5
2021097,2021-08-26,3,11,12,13,25,28,12
2021096,2021-08-24,1,7,11,14,15,26,11
2021095,2021-08-22,8,12,17,24,27,28,13
2021094,2021-08-19,9,11,24,25,28,33,15
2021093,2021-08-17,5,11,15,23,28,33,3
2021092,2021-08-15,2,7,8,10,12,31,3
2021091,2021-08-12,4,6,16,24,26,33,16
2021090,2021-08-10,5,6,12,14,27,28,8
2021089,2021-08-08,1,2,7,13,23,24,12
2021088,2021-08-05,4,12,15,16,19,26,6
2021087,2021-08-03,2,13,16,19,23,24,4
2021086,2021-08-01,6,8,10,14,28,29,1
2021085,2021-07-29,5,6,7,11,14,20,2
2021084,2021-07-27,5,7,9,11,21,28,1
2021083,2021-07-25,4,9,11,25,28,33,4
2021082,2021-07-22,3,6,11,13,26,32,5
2021081,2021-07-20,1,3,5,18,22,23,1
2021080,2021-07-18,5,8,22,23,24,29,9
2021079,2021-07-15,1,3,10,24,28,29,13
2021078,2021-07-13,4,6,15,26,27,31,12
2021077,2021-07-11,8,15,17,25,27,30,10
2021076,2021-07-08,3,9,21,23,30,32,6
2021075,2021-07-06,12,15,16,21,22,29,1
2021074,2021-07-04,4,5,9,14,25,27,7
2021073,2021-07-01,1,6,18,22,24,25,8
2021072,2021-06-29,1,9,15,16,19,21,15
2021071,2021-06-27,1,7,24,31,32,33,8
2021070,2021-06-24,1,5,11,15,16,29,15
2021069,2021-06-22,6,11,18,20,23,26,5
2021068,2021-06-20,4,14,18,24,31,32,15
2021067,2021-06-17,1,11,19,23,25,29,9
2021066,2021-06-15,2,6,19,26,30,33,15
2021065,2021-06-13,1,4,8,19,29,33,16
2021064,2021-06-10,4,6,8,15,16,18,16
2021063,2021-06-08,4,5,6,9,23,24,9
2021062,2021-06-06,12,13,15,20,22,25,10
2021061,2021-06-03,4,9,12,18,20,23,1
2021060,2021-06-01,10,11,17,20,29,30,15
2021059,2021-05-30,1,9,11,18,32,33,14
2021058,2021-05-27,9,11,13,18,19,28,14
2021057,2021-05-25,5,6,9,17,25,33,16
2021056,2021-05-23,8,21,22,23,29,32,1
2021055,2021-05-20,3,11,12,16,22,28,10
2021054,2021-05-18,7,13,21,22,24,31,2
2021053,2021-05-16,7,10,14,16,24,33,16
2021052,2021-05-13,3,4,6,19,21,30,14
2021051,2021-05-11,8,9,10,19,27,29,15
2021050,2021-05-09,2,9,10,16,25,28,8
2021049,2021-05-06,4,11,13,22,25,32,1
2021048,2021-05-04,4,15,17,22,29,32,3
2021047,2021-05-02,3,7,13,16,24,29,1
2021046,2021-04-29,5,9,13,21,28,33,6
2021045,2021-04-27,1,4,14,15,17,32,2
2021044,2021-04-25,5,7,14,17,26,28,13
2021043,2021-04-22,2,3,17,18,23,24,1
2021042,2021-04-20,5,9,10,22,25,27,8
2021041,2021-04-18,2,9,18,23,26,32,14
2021040,2021-04-15,2,6,7,24,28,29,16
2021039,2021-04-13,2,8,21,24,29,31,13
2021038,2021-04-11,5,7,9,16,18,27,6
2021037,2021-04-08,13,17,19,24,26,30,12
2021036,2021-04-06,1,2,6,11,21,26,11
2021035,2021-04-04,12,14,18,20,26,28,11
2021034,2021-04-01,4,10,12,18,23,25,1
2021033,2021-03-30,2,12,13,14,31,33,6
2021032,2021-03-28,1,5,8,15,16,30,3
2021031,2021-03-25,6,11,21,25,28,31,7
2021030,2021-03-23,8,9,13,27,29,31,5
2021029,2021-03-21,8,10,15,17,22,30,12
2021028,2021-03-18,11,16,23,26,27,33,5
2021027,2021-03-16,5,7,9,16,20,26,8
2021026,2021-03-14,3,5,13,19,20,25,3
2021025,2021-03-11,6,8,14,17,18,30,11
2021024,2021-03-09,1,4,6,10,11,18,2
2021023,2021-03-07,2,21,22,23,27,28,11
2021022,2021-03-04,10,15,17,25,31,32,6
2021021,2021-03-02,4,8,17,24,28,33,13
2021020,2021-02-28,1,3,6,7,9,11,2
2021019,2021-02-25,12,16,17,24,28,29,8
2021018,2021-02-23,2,8,14,23,25,32,6
2021017,2021-02-21,9,15,18,29,32,33,2
2021016,2021-02-07,3,8,9,13,15,18,10
2021015,2021-02-04,6,14,16,26,28,29,7
2021014,2021-02-02,4,15,21,25,29,33,6
2021013,2021-01-31,6,9,12,16,27,31,6
2021012,2021-01-28,3,6,14,18,20,26,1
2021011,2021-01-26,5,10,16,23,27,33,14
2021010,2021-01-24,1,4,11,19,32,33,5
2021009,2021-01-21,2,4,7,24,25,32,13
2021008,2021-01-19,1,5,7,14,18,33,7
2021007,2021-01-17,2,4,12,21,25,32,16
2021006,2021-01-14,6,8,22,24,25,26,1
2021005,2021-01-12,7,9,14,26,30,31,4
2021004,2021-01-10,2,3,7,8,17,22,15
2021003,2021-01-07,6,9,16,18,22,29,11
2021002,2021-01-05,6,10,13,25,26,32,11
2021001,2021-01-03,2,3,13,18,20,31,11
2020134,2020-12-31,2,9,10,20,22,26,1
2020133,2020-12-29,3,19,22,23,27,29,7
2020132,2020-12-27,1,4,11,12,14,23,4
2020131,2020-12-24,8,19,22,26,27,30,7
2020130,2020-12-22,8,9,11,14,17,29,16
2020129,2020-12-20,1,2,5,15,28,33,4
2020128,2020-12-17,8,10,15,16,23,26,10
2020127,2020-12-15,1,4,18,19,26,31,7
2020126,2020-12-13,3,7,12,14,23,28,11
2020125,2020-12-10,5,12,16,26,30,31,13
2020124,2020-12-08,16,18,19,20,29,33,12
2020123,2020-12-06,1,3,18,19,26,29,3
2020122,2020-12-03,12,15,17,24,26,31,15
2020121,2020-12-01,2,4,6,21,25,29,3
2020120,2020-11-29,1,2,3,4,9,10,12
2020119,2020-11-26,1,9,22,28,32,33,15
2020118,2020-11-24,11,13,19,26,30,33,5
2020117,2020-11-22,7,8,9,10,16,27,7
2020116,2020-11-19,5,6,14,16,19,27,10
2020115,2020-11-17,1,4,12,20,25,32,2
2020114,2020-11-15,1,5,11,24,30,32,3
2020113,2020-11-12,1,3,7,10,22,32,11
2020112,2020-11-10,2,9,12,17,28,32,5
2020111,2020-11-08,6,9,17,22,24,26,16
2020110,2020-11-05,2,6,9,14,22,25,4
2020109,2020-11-03,6,13,16,20,23,32,13
2020108,2020-11-01,10,12,15,17,23,32,5
2020107,2020-10-29,3,9,11,24,25,28,16
2020106,2020-10-27,2,4,11,15,18,28,10
2020105,2020-10-25,6,14,19,20,22,24,1
2020104,2020-10-22,4,8,10,16,27,29,9
2020103,2020-10-20,4,9,10,22,28,32,8
2020102,2020-10-18,9,10,19,25,26,29,8
2020101,2020-10-15,10,17,24,25,28,30,15
2020100,2020-10-13,1,7,15,16,20,23,7
2020099,2020-10-11,5,6,11,12,15,30,12
2020098,2020-10-08,6,8,11,22,25,33,2
2020097,2020-10-06,2,8,21,25,26,30,10
2020096,2020-09-29,1,20,23,26,27,32,15
2020095,2020-09-27,3,9,16,17,20,26,2
2020094,2020-09-24,10,15,17,27,29,31,8
2020093,2020-09-22,4,5,10,13,15,19,15
2020092,2020-09-20,1,6,12,18,22,24,3
2020091,2020-09-17,1,9,11,12,16,19,16
2020090,2020-09-15,2,21,23,26,31,32,6
2020089,2020-09-13,2,14,16,21,29,30,10
2020088,2020-09-10,1,6,12,26,29,30,12
2020087,2020-09-08,11,15,20,23,25,33,10
2020086,2020-09-06,2,4,6,15,24,27,6
2020085,2020-09-03,1,2,5,9,19,24,16
2020084,2020-09-01,3,7,16,17,23,30,7
2020083,2020-08-30,1,19,25,26,30,31,12
2020082,2020-08-27,2,8,11,17,21,30,9
2020081,2020-08-25,1,5,13,14,27,33,15
2020080,2020-08-23,14,15,18,22,31,33,1
2020079,2020-08-20,5,12,20,21,22,29,14
2020078,2020-08-18,3,11,14,16,21,32,4
2020077,2020-08-16,3,10,16,21,25,27,12
2020076,2020-08-13,10,15,16,18,20,27,6
2020075,2020-08-11,3,11,13,20,24,30,16
2020074,2020-08-09,4,8,9,13,19,33,12
2020073,2020-08-06,5,7,11,13,27,29,3
2020072,2020-08-04,6,8,10,15,17,26,4
2020071,2020-08-02,9,11,12,13,22,23,8
2020070,2020-07-30,1,2,4,6,19,21,15
2020069,2020-07-28,3,9,10,13,18,26,4
2020068,2020-07-26,12,16,21,26,27,32,10
2020067,2020-07-23,4,7,9,23,27,30,8
2020066,2020-07-21,2,9,13,17,26,28,7
2020065,2020-07-19,9,15,18,21,23,26,8
2020064,2020-07-16,1,3,7,21,27,32,1
2020063,2020-07-14,12,15,16,22,29,32,14
2020062,2020-07-12,10,14,17,22,26,27,5
2020061,2020-07-09,8,17,24,26,27,31,4
2020060,2020-07-07,5,9,14,20,24,30,8
2020059,2020-07-05,2,4,10,17,22,25,14
2020058,2020-07-02,1,3,11,12,19,26,7
2020057,2020-06-30,9,14,21,23,26,32,3
2020056,2020-06-28,2,5,8,12,26,31,14
2020055,2020-06-25,1,5,7,23,28,30,12
2020054,2020-06-23,3,10,19,25,26,31,2
2020053,2020-06-21,2,14,15,16,32,33,1
2020052,2020-06-18,2,8,13,29,32,33,15
2020051,2020-06-16,3,6,8,11,19,28,8
2020050,2020-06-14,4,9,17,20,32,33,15
2020049,2020-06-11,1,7,9,12,18,22,4
2020048,2020-06-09,12,14,18,23,30,32,2
2020047,2020-06-07,4,10,17,19,28,32,1
2020046,2020-06-04,13,19,25,26,27,32,8
2020045,2020-06-02,2,3,15,21,22,33,16
2020044,2020-05-31,7,8,16,17,19,24,7
2020043,2020-05-28,1,11,24,25,27,30,7
2020042,2020-05-26,2,6,7,11,14,31,3
2020041,2020-05-24,6,7,16,22,24,25,13
2020040,2020-05-21,1,6,12,16,19,21,4
2020039,2020-05-19,2,9,10,11,16,29,2
2020038,2020-05-17,1,6,7,18,23,24,15
2020037,2020-05-14,1,4,11,13,17,24,15
2020036,2020-05-12,7,9,16,22,24,32,6
2020035,2020-05-10,10,14,24,25,28,33,11
2020034,2020-05-07,2,8,15,16,26,32,3
2020033,2020-05-05,7,10,12,21,31,32,1
2020032,2020-05-03,3,11,13,14,15,26,13
2020031,2020-04-30,2,5,9,15,16,27,9
2020030,2020-04-28,17,18,21,29,30,32,3
2020029,2020-04-26,1,12,18,20,30,32,5
2020028,2020-04-23,5,6,15,18,26,32,8
2020027,2020-04-21,12,13,14,24,25,28,6
2020026,2020-04-19,1,4,9,18,19,31,6
2020025,2020-04-16,1,9,10,15,20,29,2
2020024,2020-04-14,10,13,27,28,29,31,8
2020023,2020-04-12,4,5,20,21,30,33,8
2020022,2020-04-09,2,10,20,22,25,30,2
2020021,2020-04-07,2,6,14,16,27,31,7
2020020,2020-04-05,1,6,9,13,15,22,14
2020019,2020-04-02,15,19,27,28,30,33,3
2020018,2020-03-31,5,7,8,11,17,22,13
2020017,2020-03-29,2,4,7,15,20,27,4
2020016,2020-03-26,5,6,8,17,24,27,7
2020015,2020-03-24,8,9,22,24,30,33,1
2020014,2020-03-22,2,7,8,10,12,16,7
2020013,2020-03-19,2,8,10,20,21,30,14
2020012,2020-03-17,4,13,14,23,26,31,9
2020011,2020-03-15,4,5,7,17,18,29,1
2020010,2020-03-12,11,14,22,27,31,32,9
2020009,2020-01-21,3,6,8,14,19,26,12
2020008,2020-01-19,1,4,6,10,11,28,16
2020007,2020-01-16,5,12,17,20,25,31,10
2020006,2020-01-14,3,4,5,10,16,32,9
2020005,2020-01-12,11,16,17,22,26,32,4
2020004,2020-01-09,2,15,17,27,32,33,3
2020003,2020-01-07,9,17,26,29,30,32,3
2020002,2020-01-05,4,9,14,15,16,29,11
2020001,2020-01-02,2,15,23,26,29,30,2
2019151,2019-12-31,2,6,9,18,24,26,14
2019150,2019-12-29,2,9,14,22,27,29,2
2019149,2019-12-26,1,6,27,28,31,33,7
2019148,2019-12-24,9,10,13,20,26,27,8
2019147,2019-12-22,1,9,12,14,23,27,12
2019146,2019-12-19,1,4,10,12,30,32,14
2019145,2019-12-17,1,8,13,17,18,19,16
2019144,2019-12-15,2,12,15,19,27,30,3
2019143,2019-12-12,5,13,15,16,26,32,9
2019142,2019-12-10,8,14,24,27,29,33,9
2019141,2019-12-08,10,13,14,15,17,33,14
2019140,2019-12-05,2,4,9,11,14,22,5
2019139,2019-12-03,8,14,20,23,30,33,11
2019138,2019-12-01,2,6,12,30,31,32,11
2019137,2019-11-28,7,10,13,19,23,31,6
2019136,2019-11-26,12,14,15,17,29,33,12
2019135,2019-11-24,3,6,10,11,27,33,3
2019134,2019-11-21,1,4,6,22,29,30,3
2019133,2019-11-19,3,7,16,21,24,31,7
2019132,2019-11-17,4,6,11,14,19,33,7
2019131,2019-11-14,9,17,19,20,24,31,4
2019130,2019-11-12,1,7,9,11,24,32,16
2019129,2019-11-10,3,4,7,9,15,26,7
2019128,2019-11-07,3,8,12,16,17,19,8
2019127,2019-11-05,2,6,7,12,17,24,10
2019126,2019-11-03,2,14,17,29,32,33,16
2019125,2019-10-31,2,11,12,26,27,29,3
2019124,2019-10-29,4,9,30,31,32,33,1
2019123,2019-10-27,2,6,8,17,28,30,6
2019122,2019-10-24,4,10,15,19,21,23,2
2019121,2019-10-22,2,6,15,21,30,31,2
2019120,2019-10-20,10,12,27,31,32,33,3
2019119,2019-10-17,4,20,22,24,26,33,7
2019118,2019-10-15,12,14,15,25,28,31,4
2019117,2019-10-13,3,5,11,28,32,33,1
2019116,2019-10-10,1,8,9,13,16,33,1
2019115,2019-10-08,4,10,11,14,15,29,5
2019114,2019-09-29,2,4,9,11,12,30,1
2019113,2019-09-26,1,5,19,21,25,33,15
2019112,2019-09-24,3,12,14,17,23,27,1
2019111,2019-09-22,7,18,20,22,24,33,1
2019110,2019-09-19,1,18,22,26,27,28,8
2019109,2019-09-17,3,6,7,17,28,31,10
2019108,2019-09-15,7,13,19,22,25,32,13
2019107,2019-09-12,2,6,8,23,27,32,2
2019106,2019-09-10,2,14,22,27,30,33,14
2019105,2019-09-08,2,13,15,17,26,33,1
2019104,2019-09-05,1,5,16,17,18,24,10
2019103,2019-09-03,4,12,14,21,27,29,12
2019102,2019-09-01,3,8,12,16,20,32,12
2019101,2019-08-29,1,4,9,21,31,33,5
2019100,2019-08-27,1,4,12,13,30,32,8
2019099,2019-08-25,7,14,22,23,27,30,8
2019098,2019-08-22,3,11,12,14,17,26,9
2019097,2019-08-20,3,5,18,24,25,31,9
2019096,2019-08-18,5,7,12,18,27,32,11
2019095,2019-08-15,2,5,14,19,21,28,1
2019094,2019-08-13,5,10,12,18,19,27,6
2019093,2019-08-11,5,7,8,9,20,22,2
2019092,2019-08-08,9,17,27,28,32,33,8
2019091,2019-08-06,7,10,21,24,29,32,11
2019090,2019-08-04,2,3,6,8,14,22,4
2019089,2019-08-01,2,4,14,16,20,22,11
2019088,2019-07-30,13,14,15,21,23,29,13
2019087,2019-07-28,4,5,7,9,21,30,4
2019086,2019-07-25,16,22,24,26,28,31,6
2019085,2019-07-23,1,4,14,18,24,29,4
2019084,2019-07-21,4,8,14,18,20,27,3
2019083,2019-07-18,6,15,17,26,28,31,3
2019082,2019-07-16,7,16,19,22,24,28,2
2019081,2019-07-14,5,24,27,29,31,32,10
2019080,2019-07-11,3,6,8,20,24,32,7
2019079,2019-07-09,1,3,6,9,19,31,16
2019078,2019-07-07,1,17,27,29,31,33,12
2019077,2019-07-04,9,11,13,18,21,22,15
2019076,2019-07-02,12,15,19,20,29,32,14
2019075,2019-06-30,5,8,20,22,31,33,3
2019074,2019-06-27,12,21,27,29,31,33,4
2019073,2019-06-25,1,2,6,12,16,18,8
2019072,2019-06-23,2,9,13,15,22,30,15
2019071,2019-06-20,1,8,19,24,29,30,4
2019070,2019-06-18,6,15,18,19,24,32,9
2019069,2019-06-16,6,11,16,19,21,25,1
2019068,2019-06-13,3,14,20,24,26,33,10
2019067,2019-06-11,4,6,8,11,30,33,11
2019066,2019-06-09,1,14,17,20,22,32,4
2019065,2019-06-06,6,9,11,15,20,26,10
2019064,2019-06-04,12,20,24,25,30,33,12
2019063,2019-06-02,1,14,19,22,29,31,16
2019062,2019-05-30,7,13,16,23,26,30,1
2019061,2019-05-28,3,17,19,24,27,31,12
2019060,2019-05-26,3,4,14,20,23,27,1
2019059,2019-05-23,4,5,7,9,16,18,6
2019058,2019-05-21,7,8,12,21,23,27,12
2019057,2019-05-19,4,5,6,8,13,18,16
2019056,2019-05-16,13,14,17,19,21,29,1
2019055,2019-05-14,1,6,11,15,19,31,10
2019054,2019-05-12,7,10,11,15,24,26,11
2019053,2019-05-09,4,16,22,25,29,31,8
2019052,2019-05-07,3,6,9,13,16,19,16
2019051,2019-05-05,8,9,10,13,15,28,9
2019050,2019-05-02,4,6,10,11,21,23,2
2019049,2019-04-30,3,10,13,22,23,28,15
2019048,2019-04-28,3,7,10,12,18,29,10
2019047,2019-04-25,3,11,18,25,30,33,14
2019046,2019-04-23,2,12,16,22,25,32,6
2019045,2019-04-21,1,6,17,19,27,31,14
2019044,2019-04-18,6,14,16,17,23,29,7
2019043,2019-04-16,1,6,12,13,24,32,13
2019042,2019-04-14,15,17,19,22,25,26,4
2019041,2019-04-11,2,9,13,23,24,26,16
2019040,2019-04-09,5,6,9,18,23,31,11
2019039,2019-04-07,6,7,11,14,27,32,8
2019038,2019-04-04,9,12,21,27,29,30,5
2019037,2019-04-02,1,7,12,14,18,25,10
2019036,2019-03-31,2,10,13,16,23,32,8
2019035,2019-03-28,1,5,7,9,10,20,16
2019034,2019-03-26,9,11,15,22,24,26,3
2019033,2019-03-24,9,15,19,21,23,29,15
2019032,2019-03-21,4,8,9,13,28,33,4
2019031,2019-03-19,3,13,15,18,21,33,16
2019030,2019-03-17,4,5,7,10,12,22,16
2019029,2019-03-14,8,11,17,23,32,33,10
2019028,2019-03-12,4,19,22,26,29,30,11
2019027,2019-03-10,2,6,8,10,11,17,13
2019026,2019-03-07,3,13,15,19,20,27,14
2019025,2019-03-05,15,16,21,27,30,33,4
2019024,2019-03-03,1,8,23,25,28,29,10
2019023,2019-02-28,1,10,14,15,18,31,13
2019022,2019-02-26,3,7,11,21,30,33,7
2019021,2019-02-24,2,5,7,8,20,27,4
2019020,2019-02-21,2,12,13,23,27,28,12
2019019,2019-02-19,3,11,17,18,24,25,6
2019018,2019-02-17,4,11,18,19,26,32,4
2019017,2019-02-14,4,5,24,28,30,33,9
2019016,2019-02-12,5,7,9,11,19,25,5
2019015,2019-02-03,11,15,16,20,24,31,4
2019014,2019-01-31,1,2,3,14,19,33,3
2019013,2019-01-29,5,7,14,16,18,21,1
2019012,2019-01-27,7,10,21,23,31,33,14
2019011,2019-01-24,10,13,19,21,24,30,7
2019010,2019-01-22,2,4,5,8,11,30,2
2019009,2019-01-20,1,7,10,22,31,32,15
2019008,2019-01-17,2,6,9,13,28,32,12
2019007,2019-01-15,6,10,14,15,19,23,15
2019006,2019-01-13,1,5,10,19,26,28,12
2019005,2019-01-10,21,22,26,28,31,32,7
2019004,2019-01-08,8,12,16,19,26,32,3
2019003,2019-01-06,13,17,20,21,22,27,1
2019002,2019-01-03,4,5,6,8,9,18,11
2019001,2019-01-01,6,10,13,15,32,33,15
2018153,2018-12-30,1,7,17,23,25,31,11
2018152,2018-12-27,4,14,16,23,28,29,3
2018151,2018-12-25,5,15,19,25,26,29,15
2018150,2018-12-23,6,8,15,19,20,31,5
2018149,2018-12-20,1,7,8,10,12,24,1
2018148,2018-12-18,3,6,18,19,21,31,1
2018147,2018-12-16,3,15,17,23,27,30,11
2018146,2018-12-13,2,10,11,17,18,29,16
2018145,2018-12-11,3,9,13,22,23,25,6
2018144,2018-12-09,8,13,17,18,20,27,13
2018143,2018-12-06,4,6,15,28,32,33,14
2018142,2018-12-04,5,8,10,11,27,28,11
2018141,2018-12-02,11,14,16,18,24,33,4
2018140,2018-11-29,1,15,20,22,25,28,14
2018139,2018-11-27,11,18,20,23,31,32,15
2018138,2018-11-25,1,10,25,27,30,32,9
2018137,2018-11-22,3,5,11,15,20,23,9
2018136,2018-11-20,10,12,15,25,26,27,14
2018135,2018-11-18,1,3,6,10,11,29,16
2018134,2018-11-15,3,16,18,31,32,33,12
2018133,2018-11-13,2,4,11,12,18,32,13
2018132,2018-11-11,1,2,9,10,15,22,6
2018131,2018-11-08,21,22,24,31,32,33,1
2018130,2018-11-06,5,12,17,18,24,28,12
2018129,2018-11-04,2,4,6,16,18,19,16
2018128,2018-11-01,6,7,8,19,22,23,2
2018127,2018-10-30,2,5,6,7,11,15,12
2018126,2018-10-28,1,6,8,9,14,22,5
2018125,2018-10-25,3,10,11,14,15,32,2
2018124,2018-10-23,9,13,14,19,22,25,2
2018123,2018-10-21,13,21,24,27,31,32,1
2018122,2018-10-18,5,7,20,22,30,32,10
2018121,2018-10-16,6,8,14,19,23,25,11
2018120,2018-10-14,3,4,18,26,27,33,1
2018119,2018-10-11,3,13,14,16,25,27,12
